id,average_alive_turns
1,200.420357
2,334.149965
3,253.921698
4,323.376849
5,270.917545
6,318.035118
7,278.594537
8,314.53761
9,283.379892
10,312.498704
11,286.550188
12,310.968959
13,288.654734
14,309.554824
15,290.338296
16,308.376593
17,291.622296
18,307.812748
19,292.701162
20,307.204822
21,293.428524
22,306.573598
23,293.894007
24,306.486286
25,294.774708
26,305.835571
27,295.199417
28,305.38359
29,295.357696
30,305.026007
31,295.827491
32,304.678983
33,296.128694
34,304.589753
35,296.32736
36,304.581159
37,296.619033
38,304.406215
39,296.824981
40,304.072762
41,296.773167
42,303.987138
43,296.793448
44,304.188346
45,297.399218
46,303.746574
47,297.212446
48,303.648887
49,297.816523
50,303.304648
51,297.539423
52,303.366409
53,297.564088
54,303.507366
55,298.01705
56,303.644296
57,298.170024
58,302.918219
59,297.943632
60,302.938502
61,298.228357
62,302.946428
63,298.659339
64,303.0163
65,298.595527
66,302.70776
67,298.47692
68,302.870883
69,298.312352
70,303.023873
71,298.37765
72,302.730369
73,298.726123
74,303.020913
75,298.568132
76,302.615339
77,298.478542
78,302.883014
79,298.874859
80,302.662587
81,298.736566
82,302.39239
83,298.739293
84,302.581027
85,298.95472
86,302.446238
87,299.259392
88,302.316991
89,299.040771
90,302.446633
91,299.115269
92,301.964476
93,299.018707
94,302.291993
95,299.300211
96,302.108925
97,299.214833
98,302.080428
99,299.072032
100,302.072082
101,299.360932
102,302.34786
103,299.409607
104,302.132005
105,299.257192
106,302.039206
107,299.316583
108,302.248855
109,299.160339
110,302.306091
111,299.118367
112,302.188297
113,299.468589
114,302.137873
115,299.328926
116,302.073452
117,299.372262
118,302.219156
119,299.347123
120,301.923443
121,299.523956
122,301.996676
123,299.516342
124,301.603649
125,299.695248
126,301.857556
127,299.891105
128,302.034736
129,299.450008
130,301.861128
131,299.722009
132,301.866158
133,299.583693
134,301.832082
135,299.469279
136,301.486718
137,299.65358
138,301.9048
139,299.620647
140,301.691987
141,299.810265
142,301.685299
143,299.845915
144,301.543277
145,299.634016
146,302.15513
147,299.791777
148,301.509486
149,299.869579
150,301.621237
151,299.752457
152,301.454854
153,299.686594
154,301.776623
155,300.091936
156,301.777095
157,299.976251
158,301.805958
159,299.685735
160,301.333604
161,300.052438
162,301.474762
163,299.907374
164,301.467997
165,300.021604
166,301.857515
167,300.075302
168,301.501624
169,299.606669
170,301.757633
171,299.891452
172,301.813545
173,300.021765
174,301.415596
175,299.76766
176,301.588717
177,300.035929
178,301.702933
179,299.961385
180,301.333062
181,299.589369
182,301.670199
183,300.160589
184,301.526161
185,299.701009
186,301.751546
187,299.805668
188,301.377625
189,299.920731
190,301.227531
191,300.103956
192,301.291472
193,299.952434
194,301.450734
195,299.873403
196,301.980549
197,300.213807
198,301.645361
199,299.912866
200,301.384854
201,299.848842
202,301.38534
203,299.979215
204,301.326689
205,300.330683
206,301.457992
207,299.826397
208,301.246707
209,299.754149
210,301.631434
211,300.079187
212,301.353573
213,300.070495
214,301.75785
215,299.923595
216,301.159282
217,300.193395
218,301.603176
219,300.355103
220,301.627683
221,300.330096
222,301.336332
223,300.214964
224,301.416136
225,300.206495
226,301.289413
227,300.035277
228,301.368107
229,300.17545
230,301.092818
231,300.233921
232,301.259387
233,299.616898
234,301.699428
235,300.164204
236,301.471255
237,299.937766
238,301.37871
239,300.024108
240,301.593581
241,300.189319
242,301.30614
243,300.273394
244,301.430256
245,300.296542
246,301.60181
247,300.107971
248,301.288733
249,300.04884
250,301.366152
251,300.164909
252,301.148937
253,300.136446
254,301.335573
255,299.804879
256,301.47813
257,300.505482
258,301.331984
259,300.079228
260,301.463656
261,300.258318
262,301.643314
263,300.259693
264,301.269307
265,300.183252
266,300.906925
267,300.124462
268,301.584163
269,300.400544
270,301.447802
271,300.038249
272,301.233769
273,300.323103
274,301.303549
275,300.175069
276,301.117591
277,300.011044
278,301.606385
279,300.240543
280,301.574945
281,300.004014
282,301.217104
283,300.000329
284,301.136454
285,300.163501
286,300.96125
287,300.263536
288,301.234988
289,300.167518
290,301.342184
291,300.178167
292,301.144383
293,300.499294
294,301.60005
295,300.388051
296,301.201801
297,300.262245
298,300.935756
299,300.260583
300,300.869023
301,299.941895
302,301.102387
303,300.308357
304,301.042608
305,299.868604
306,301.522734
307,300.319863
308,301.164372
309,300.43075
310,300.916122
311,299.982143
312,301.221769
313,300.289341
314,301.299238
315,300.285589
316,301.445495
317,300.301634
318,301.105524
319,300.402124
320,301.081617
321,300.422686
322,300.916998
323,300.417049
324,301.304971
325,300.264563
326,301.138021
327,300.38437
328,301.120855
329,300.040751
330,301.335681
331,299.972385
332,301.296673
333,300.413298
334,301.340792
335,300.293876
336,300.798786
337,300.532665
338,300.962365
339,300.518405
340,300.923668
341,300.279352
342,301.300553
343,300.254902
344,301.267687
345,299.82359
346,300.963332
347,300.05446
348,301.228427
349,300.343329
350,301.433945
351,300.261272
352,301.020128
353,300.238443
354,301.208781
355,300.779408
356,301.227322
357,300.362627
358,301.312698
359,300.051554
360,301.245505
361,300.265221
362,301.42654
363,300.401478
364,301.0761
365,300.335998
366,300.994475
367,300.430343
368,301.25
369,300.615156
370,301.071414
371,300.511495
372,301.006959
373,300.218967
374,301.02744
375,300.378462
376,301.129184
377,300.236448
378,300.745046
379,300.25254
380,301.118464
381,300.057446
382,301.195708
383,300.460334
384,301.256818
385,300.391286
386,301.344278
387,300.617949
388,301.295806
389,300.311514
390,300.982591
391,300.258323
392,301.10195
393,300.33011
394,301.323422
395,300.221094
396,301.25434
397,300.583173
398,301.071758
399,300.334681
400,301.381524
401,300.295968
402,300.832181
403,300.446833
404,301.482328
405,300.500991
406,301.339066
407,300.668514
408,301.050114
409,300.635655
410,301.272315
411,300.233653
412,300.984507
413,300.174913
414,301.022409
415,300.36724
416,301.106925
417,300.393371
418,301.293688
419,300.242422
420,301.19512
421,300.216274
422,300.929612
423,300.327811
424,301.080028
425,300.388353
426,301.620612
427,300.369618
428,301.119391
429,300.10558
430,301.165286
431,300.610489
432,301.184993
433,300.16365
434,300.948959
435,300.516256
436,301.240473
437,300.538842
438,301.054514
439,300.575299
440,301.109076
441,300.685084
442,301.365012
443,300.464117
444,301.108267
445,300.639383
446,301.132028
447,300.55904
448,300.795027
449,300.684789
450,300.726105
451,300.467656
452,301.143551
453,300.166051
454,300.888813
455,300.313894
456,301.358581
457,300.315373
458,301.288208
459,300.512567
460,301.267461
461,300.608947
462,301.228593
463,300.348235
464,301.35798
465,300.277117
466,301.100965
467,300.776709
468,301.065129
469,300.362648
470,301.206383
471,299.982007
472,300.999684
473,300.378846
474,301.190931
475,300.212866
476,300.733456
477,300.494798
478,301.043046
479,300.519099
480,301.028269
481,300.485285
482,300.937416
483,300.636022
484,300.879399
485,300.354927
486,301.276101
487,300.428102
488,301.25255
489,300.403357
490,300.7546
491,300.441583
492,301.549482
493,300.628471
494,301.010648
495,300.439782
496,300.734832
497,300.498502
498,300.915653
499,300.385867
500,300.762795
501,300.521416
502,300.869308
503,300.739576
504,300.9836
505,300.23074
506,301.155298
507,300.178464
508,300.866013
509,300.531962
510,301.120398
511,300.245916
512,301.001717
513,300.451441
514,301.13058
515,300.315006
516,301.062772
517,300.709768
518,301.034393
519,300.49675
520,301.273335
521,300.82504
522,301.215657
523,300.629792
524,301.140997
525,300.470494
526,300.92701
527,300.136465
528,300.92592
529,300.429155
530,300.991048
531,300.484909
532,301.331718
533,300.866274
534,300.844629
535,300.671812
536,301.166264
537,300.617021
538,300.765417
539,300.511887
540,301.090298
541,300.248008
542,300.831154
543,300.581485
544,301.212636
545,300.594531
546,301.129935
547,300.179743
548,300.941332
549,300.332257
550,301.086044
551,300.268592
552,300.809236
553,300.571607
554,300.684942
555,300.364703
556,301.103498
557,300.128928
558,300.893226
559,300.347643
560,301.033554
561,300.444391
562,301.072623
563,300.627115
564,301.09931
565,300.208163
566,300.81408
567,300.484717
568,301.179305
569,300.613905
570,301.137642
571,300.809458
572,301.190589
573,300.399327
574,300.844571
575,300.402293
576,300.888441
577,300.522114
578,301.080756
579,300.478599
580,300.974764
581,300.572552
582,301.045975
583,300.749874
584,300.920704
585,300.635211
586,300.708333
587,300.495642
588,301.186536
589,300.7145
590,301.117501
591,300.455087
592,300.398508
593,300.539722
594,301.228643
595,300.742694
596,301.135581
597,300.497799
598,300.867775
599,300.524379
600,300.852334
